timestamp,device_id,status,alarm_description
2026-04-01 01:57:24,DEV-104,WARNING,PSU Voltage Warning
2026-04-01 01:59:28,DEV-104,CRITICAL,Interface Input Errors
2026-04-01 02:09:26,DEV-101,CRITICAL,PSU Voltage Warning
2026-04-01 02:07:02,DEV-101,WARNING,Interface Input Errors
2026-04-01 02:12:49,DEV-102,WARNING,Interface Input Errors
2026-04-01 02:10:39,DEV-102,WARNING,Interface Input Errors
2026-04-01 02:25:37,DEV-105,CRITICAL,Thermal Trip Warning
2026-04-01 02:27:55,DEV-105,CRITICAL,High Memory Pagination
2026-04-01 02:25:36,DEV-105,CRITICAL,Thermal Trip Warning
2026-04-01 03:35:58,DEV-104,WARNING,Thermal Trip Warning
2026-04-01 03:35:44,DEV-104,CRITICAL,BGP Session Flap
2026-04-01 03:38:10,DEV-104,CRITICAL,Optical Rx Power Low
2026-04-01 03:57:39,DEV-103,WARNING,PSU Voltage Warning
2026-04-01 03:57:37,DEV-103,WARNING,BGP Session Flap
2026-04-01 03:59:17,DEV-103,WARNING,High Memory Pagination
2026-04-01 04:42:42,DEV-102,WARNING,High Memory Pagination
2026-04-01 04:53:43,DEV-104,CRITICAL,Optical Rx Power Low
2026-04-01 05:25:11,DEV-101,WARNING,BGP Session Flap
2026-04-01 06:48:45,DEV-102,WARNING,Thermal Trip Warning
2026-04-01 06:45:03,DEV-102,WARNING,Interface Input Errors
2026-04-01 07:02:36,DEV-105,CRITICAL,BGP Session Flap
2026-04-01 07:30:20,DEV-101,WARNING,Thermal Trip Warning
2026-04-01 08:07:42,DEV-103,WARNING,Interface Input Errors
2026-04-01 08:21:11,DEV-101,WARNING,Interface Input Errors
2026-04-01 08:22:24,DEV-101,WARNING,PSU Voltage Warning
2026-04-01 08:22:53,DEV-101,CRITICAL,PSU Voltage Warning
2026-04-01 08:59:32,DEV-103,WARNING,High Memory Pagination
2026-04-01 08:58:55,DEV-103,WARNING,Optical Rx Power Low
2026-04-01 08:58:47,DEV-103,WARNING,Interface Input Errors
2026-04-01 09:26:03,DEV-104,CRITICAL,Thermal Trip Warning
2026-04-01 09:29:33,DEV-104,CRITICAL,BGP Session Flap
2026-04-01 09:26:34,DEV-104,CRITICAL,PSU Voltage Warning
2026-04-01 09:47:58,DEV-103,WARNING,Interface Input Errors
2026-04-01 09:46:15,DEV-103,WARNING,Interface Input Errors
2026-04-01 09:56:25,DEV-105,WARNING,Optical Rx Power Low
2026-04-01 09:57:27,DEV-105,WARNING,Interface Input Errors
2026-04-01 10:00:01,DEV-101,CRITICAL,Interface Input Errors
2026-04-01 10:01:16,DEV-101,WARNING,High Memory Pagination
2026-04-01 10:32:02,DEV-102,WARNING,High Memory Pagination
2026-04-01 10:40:40,DEV-104,CRITICAL,BGP Session Flap
2026-04-01 10:41:23,DEV-104,CRITICAL,PSU Voltage Warning
2026-04-01 10:40:06,DEV-104,CRITICAL,Optical Rx Power Low
2026-04-01 11:00:13,DEV-103,WARNING,PSU Voltage Warning
2026-04-01 11:00:11,DEV-103,WARNING,Optical Rx Power Low
2026-04-01 11:53:30,DEV-103,CRITICAL,Interface Input Errors
2026-04-01 11:50:58,DEV-103,CRITICAL,BGP Session Flap
2026-04-01 13:18:47,DEV-105,WARNING,BGP Session Flap
2026-04-01 13:19:21,DEV-105,WARNING,BGP Session Flap
2026-04-01 15:32:43,DEV-102,WARNING,Thermal Trip Warning
2026-04-01 16:36:46,DEV-105,CRITICAL,Thermal Trip Warning
2026-04-01 16:53:26,DEV-103,CRITICAL,PSU Voltage Warning
2026-04-01 16:52:09,DEV-103,WARNING,Thermal Trip Warning
2026-04-01 16:50:19,DEV-103,WARNING,Interface Input Errors
2026-04-01 17:24:35,DEV-104,CRITICAL,PSU Voltage Warning
2026-04-01 17:24:58,DEV-104,WARNING,Interface Input Errors
2026-04-01 18:03:53,DEV-102,CRITICAL,BGP Session Flap
2026-04-01 18:52:24,DEV-102,WARNING,BGP Session Flap
2026-04-01 18:52:15,DEV-102,WARNING,Interface Input Errors
2026-04-01 18:59:48,DEV-103,CRITICAL,High Memory Pagination
2026-04-01 19:27:40,DEV-104,WARNING,Interface Input Errors
2026-04-01 19:51:41,DEV-104,CRITICAL,High Memory Pagination
2026-04-01 19:50:18,DEV-104,CRITICAL,BGP Session Flap
2026-04-01 20:11:28,DEV-103,CRITICAL,Interface Input Errors
2026-04-01 20:11:15,DEV-103,CRITICAL,Thermal Trip Warning
2026-04-01 20:39:26,DEV-103,CRITICAL,High Memory Pagination
2026-04-01 20:39:24,DEV-103,CRITICAL,BGP Session Flap
